Id,Sentence
0,정말 많이 울었던 영화입니다.
1,시간 낭비예요.
2,포스터를 저렇게밖에 만들지 못했던 제작자의 소심함에 침을 뱉고 싶다.
3,지금 봐도 재미있는 영화!!! 코믹과 감동!!! 그리고 요리!!!
4,이걸 영화로 만드는 거야?얼마나 가는지 보자.
5,잔잔한 감동을 주는 영화가 좋은 영화다. 줄리안 무어의 매력!
6,"프랑스 영화, 정말 재미없다는 말밖에..."
7,이보다 더 자연스러울 수는 없다.
8,잠만 자고 있었는데~~
9,오프닝 씬이... (이 영화와 젊음에 대해 말한다.)
10,내용도 재미있고~ 유덕화가 가장 멋지게 나온 영화들~
11,영화는 없고 색깔만 있다
12,홍성진 영화해설자님우뢰매를 욕하다니...
13,이게 뭐라고...
14,우울한 작가주의인 척
15,재밌는데...
16,최고...녹화 찍어놓은 걸 볼 수 있어서 정말 다행이야..
17,보면서 동감을 많이 해요. 보면 남의 일이 아닌 것 같아요. 수고하십시요
18,역시 강 씨.
19,오오~ 정말 좋아해요!!
20,진저얼굴짱 몸짱!! 정말 이뻐!
21,감동과 함께 감성을 자극해 줍니다.
22,힘과 강렬함...정말로 산뜻한 영화다..
23,우리 은별이 언니 b
24,분위기만 나쁘게 해서 끝난다....
25,소설을 보는 듯한 지루한 줄거리와 볼썽사나운 액션
26,충훈이가 나왔으니까 많이 줘~!
27,보고나서는 좀 허전하다
28,와~
29,말도 안돼! PS2 간접광고하는거 아니야? 이러니저러니 보양생
30,예술영화라고 하기엔 너무 탄탄한 스토리와 스케일...
31,언어가 필요없는 최고의 애니메이션입니다.♡
32,사랑 앞에서는 돈도 필요없어!! 못 보신 분은 꼭 보세요. 추천!
33,보시면 별루임을 알 수 있습니다.
34,최고의 영화
35,보지 말아주세요.--;
36,이 영화의 지루함은 우리에게 말로 표현할 수 없는 뭔가를 느끼게 하는 것이지 결코 지루하지 않다.
37,TV에서 우연히 접했다면 추천! 합니다. 아주 경쾌한 해프닝 사건.
38,전혀 다르네요.
39,OOO~1점도 아쉽다~
40,완전히 빗나가 오히려 관객이 돈을 받아야 하는 영화!
41,이런 에로쓰레기 영화를 극장판에서 보는 돈이 얼마나 아까운지 알 수 있다.
42,정말 지루한 영화..
43,재미있는 작품
44,혼자 세상을 바꿀 수는 없지만 변화시킬 수는 있다.
45,감독시마이카이라OO
46,포스터만 보고 기대했다가 실패했어.
47,저는 루트 영화를 못 받지만 저는 책을 읽었어요.
48,이건 뭐냐? 영화 받아봤는데 재미없어서 진짜 허무하게 시작해서 허무하게 끝나.
49,"현대 중국의 모습, 그 속에서 사는 지금의 젊은이들."
50,너무 야하다
51,더 이상 숨어서는 안 된다.그냥 지나갈 뿐...
52,로맨스이긴 하지만 내용의 흐림이 어쩐지 어색한 것
53,"글쎄요, 너무 평범해서 시간낭비하고 싶어요."
54,허버 굳이 미야이즈미 죽이지마 -- 죽일 때가 기억에 남지 마
55,10점이 아깝지 않다
56,인권이라는 주제를 잘 표현한 영화
57,천재적인 아이들이 마음에 끌렸다고 생각합니다.~^-^!!
58,"이거는 거의 플루시맨을 보는 것 같은... 무슨 영화가 뭐야, 그래픽도."
59,가족호러에 에디머피가 나오면 재미도 없고 호러도 아니라는 결론이 나온다
60,"희망을 버리지 않고, 결국은 쟁취한다. 그러나 암울하다"
61,ㅋㅋㅋ 혹평이라니 ㅋㅋㅋ그때 당시 미국 개봉 때 유행했는데...
62,요즘도 반히포크라테스가 시행되고 있는지 궁금합니다.
63,이것은 왜 19살입니까? 공포때문에??
64,비디오로 보는것도 시간과 돈이 아깝다...
65,금년 최악의 영화다
66,캐스팅만 화려해.정말... 다른게 남는게 없어
67,음악을 아는 사람에게는 1000점을 줘도 모자란 영화.
68,정말 못 참겠네. -_-+
69,주인공들의 비극적인 종말과 그들의 관계... 도저히 걸을 수 없는 현실
70,미사키 너무 귀여워~~
71,아..속편은 왜 안나오는거죠? 보고싶지만 붉은매 사랑합니다 ^.
72,내 인생에서 가장 중요한 영화!!
73,예수님을 많이 알게되는 계기가 되네요
74,드디어 1퍼구!! 이 영화점이 정말 재미있어..
75,시간이 너무 남아서 어떻게 할 수가 없을 때 그때 봐도 화나게
76,이 영화는 반드시 재평가를 받아야 한다.
77,들어도 재미있다. 빨리 만나고 싶다.
78,이영걸의 소림사 시리즈 이후 오랜만의 작품이었다.
79,"선생님, 그 진지함에 비해서 영상미가 아까워요."
80,아름다운 음악과 이야기..
81,영상이 정말 멋있었다.아레스랑 데이비드도 멋있어... 마지막이 우울해~ㅜㅜ
82,"영화 완전 재미없어...(책임질게요) 완전히 감동하지 않는 영화, 하류 감독작"
83,좋은 느낌의... 최고의 영화
84,저처럼 딸도 영화관에서 멋진 추억을 만들 수 있어서 정말 좋았어요.
85,1이 훨씬 더 좋은 것 같네요 2는 별로...
86,좋은 의도로 만들어졌지만 영화 내에서는 의도가 느껴지지 않는다.
87,족구같은 영화다 - 위에 평온한 녀석들은 뭐하는 너야? ...아니야
88,낭만 자객이 낫다.
89,카피와 캐릭터를 좋아합니다.
90,별 다섯 개! 세 번 봐야 하는 영화.
91,별로 재미없었는데... ㅎㅎ 그래도 좀 웃긴 것 같기도 하고. 21세기에
92,너무 재미있었어요.
93,복싱은 애술이다 누구나 복싱은 할 수 있지만 진정한 복싱인이 되려면 직접 쏘아야 복싱의 묘미
94,ㄱ
95,...정말 별로였다. .
96,"15년전부터 지금까지.. 곽재용의 영화는 모두 ""소나기""다..."
97,너무 웃겼어. 전에 보고 최근에 봤는데 재밌어.
98,쓰레기~
99,솔직히 기대 했었는데 주인공인 성우에게 실망했어.
100,이런 싸구려 애니메이션은 초등학생을 제외하고는 보지 않는다.
101,0점은 왜 안 했냐
102,"캐스팅 미스, 스토리 구성 미흡"
103,위에 평가한 사람 직원인가? 좀 솔직하게 평합시다!! 지루함
104,하지만 별로 재미없어요..(심심해)
105,재미없는 드라마를 여행하고
106,남들이 뭐라고 할지는 모르겠지만 저는 최고의 영화라고 생각해요.
107,신고
108,"너희들이여, 더 열심히 해보세요. 강추!"
109,희미하게 보네...즐겁게 봐♪
110,내용이 어려워서 이해할 수 없는 영화가 아니라 설정자체가 부족하여 이해안감.
111,나의 어릴때 가족들과 이불속에 들어가서 이 영화를 해준시간이 제일 좋았어.
112,정말 감동적! 중학교 때 봤는데 아직도 가슴에 남아요.^ㅁ^
113,작지만 크다. 임승래의 첫 작품. 개인적으로 최초공개 첫회를 본...
114,볼 만한 영화
115,웃긴..
116,너무 재밌어요.비전으로라도 사고 싶은데 중국은 없네요.구할 수 없나요?
117,좋은 영화입니다.
118,제이슨 vs 프레디처럼 재미없어
119,이것도 영화야!!!!절대 보지마라.
120,진짜 재미없어
121,"아프리카의 현실을 담은 영화, 그의 영화를 존경한다."
122,마지막 엔딩곡은 박지윤의 성인식 리메이크곡이네요
123,진짜 어이없다.
124,"내 인생 최고의 영화를 보지 않으면 후회한다.. 정말 추천... 강추, 강추, 강추"
125,한 점도 아까운 올해 최악의 미국 영화
126,68권까지 나온 것 같은데...
127,보구...NOT REMMBER
128,천재니 뭐니 황당하다.말도 안되는 상황 던져놓고 관객에게 맡길래?
129,요즘은 파워레인저 하나에요?
130,이병헌의 가장 못생긴 모습을 볼 수 있는 영화www
131,너무 슬펐다..
132,정말 재밌어요.
133,뭐..
134,너무 감동♡
135,오늘 봤는데... 옛날 영화로는 볼 만했네요.
136,"어떻게 된 거예요, 도대체...#;;"
137,"때로는 진지하게, 때로는 코믹하게 연출하지만 여전히 재미없다!"
138,너무 심심해
139,장철의 3대 걸작 독비도 십삼태보 그리고 이 영화의 복수
140,어린 신부와 사건 사고들은 거의 똑같지만 구성은 허접..
141,나는 감독이 이걸 왜 만들었는지 정말 궁금하다.정말..
142,정말 재미있는 영화다.
143,할리우드가 아깝다.아까...
144,이런 영화를 수입하는 데 50억이나 쓰다니.
145,제임스 우즈
146,이것도 영화라고 만들었니?기가 막힌 초등학생도 이보다는 잘 만든다. 푸핫핫.
147,내용은 없어보이지만 흔히 우리 주변에서 볼 수 있는 평범한 이야기에 흥미진진한
148,주성치유덕화 킷츠씬이 왜 그렇게 재미있는지ㅋㅋㅋ
149,그냥 드라마 같은 영화.
150,gg
151,어렸을때 테이프가 처지도록 봤어~~ㅎㅎㅎ
152,미국의 SF드라마를 다크엔젤 빼고 말할 수 있을까.
153,내 인생영화~ 더스틴과 존의 연기도 최고~
154,지금 보고 있는데 뭔가 조용한 영화 같아요.
155,호호 웃겨서 눈물나는 방송
156,잘 알려져 있지는 않지만 재미있습니다.
157,"어떤 감동도 재미없는 것을, 그냥 곰이 되자구."
158,공포물을 좋아하는데 이거 최저...
159,완전 로맨틱 코미디!
160,존나 재미없는 영화..졸려 죽는 줄 알았어.
161,20분만 보면 그냥 잔다. 이것을 DVD로 소장하는 사람은 크레용 신짱.
162,이걸 보면 김나은씨의 애切ない한 모습을 볼 수 있을 것 같아.;;
163,공포영화인 줄 알고 보다가 혼났어. 졸려. 귀신도 졸라 웃겨.
164,금발이 지긋지긋한 태양같은 상큼함을 기대했는데 정말 어이없을 듯한 그런 영화
165,"이거, 오시엔에서 밤에 자주 해 에로비안 나이트랑 비슷해."
166,이것도 영화라고 만든 건가...
167,........................................
168,난생처음 내 돈주고 본 영화중 극장에서 졸았던 영화다.
169,왜 케빈 스미스의 뉴저지 연작 시리즈 완결편에 만점을 주지 않을까.
170,대체 배신 자학 집착 이런 느낌인데 멀게 느끼란 말이야? 권하지 않는 껍질 조아하심보샘
171,헨리 폰다의 일당백총격신은 지금 봐도 훌륭해...
172,너무나 오랜만에 감동의 잔잔함을 느꼈습니다....추천해요~!!! 이런 영화
173,#재미
174,109분짜리 단편영화를 본 것 같다.영상미에별2
175,90년대 영화에서만 느낄 수 있었던 향기
176,우연히 TV에서 보게 되었는데 정말 아름다운 영화였어요.
177,앨범에 담겨있지 않은 창문에서 보는 세상..
178,가슴 어딘가 한곳이 아파. 울고 싶은 영화
179,그냥... 1000원짜리 에로영화...
180,정말 재미없어
181,강렬한 감독
182,소재가 너무 진부해서 또 심심해서...
183,"재미있다. 나름대로 식스 센스도 아닌 꽤 괜찮은 내용의 전개이고, 꽤 짜여져 있다."
184,good
185,버피보다 재미만 있었는데.... 버피도 물론 재밌다
186,당시에는 이런 재미를 주는 코믹 액션이 없었어요.
187,마지막이 인상깊었다
188,어설픈 시도
189,경찰 조쉬 하트넷과 해리슨포드의 하루 일과를 영화화했다.
190,박중훈은 역시 최고야!
191,오르가슴에 집착.잼은 없었다. 정직
192,불쌍하다...
193,I wang give this movie abour 0 point.!!
194,쓰레기
195,(어릴때 TV에서 재밌게 본 영화..
196,6살때 본 기억이...(웃음)
197,이해할 수 없었던 영화
198,포스터에 바깥 스릴러물하고 넣을까? 얄팍한 흥행을 목적으로 자멸한 영화
199,꼭 보세요.
200,정말로 이상한 영화네요.(웃음)
201,3점 준 애가 누구지?
202,유치하다고? 웃겨!
203,도대체 무슨 내용인지 모르겠어.
204,정말 팬덤한 영화네~
205,마이너스 점수가 그리울 줄 몰랐어.
206,10년도 훨씬 전에 본 영화 아직 내 가슴에 추억으로 남아있어...(웃음)
207,완전한 사랑의 의미를 알고 만든것인가..
208,깡패지만 인생의 정취를 아는 김민정의 캐릭터를 좋아했다.
209,나는 너무 재미있었어. 아자피 코믹 멜로 아닌가?
210,주사로 좀비를 만든다니... 좀 신기하기도 했지만 기대에 못 미칩니다...
211,한국영화의 미래와 발전을 위해 영화계를 떠나야 할 쓰레기 감독 여균동
212,아프다
213,쓰레기 같은 현대 문명의 잔혹성을 비판. 홀로코스트의 뜻을 모르나
214,너무 멋있어요.쿠쿠후쿠
215,정말 치밀한 구성시나리오... 그냥 영화 보러 오신 분들은 못 보시는 것처럼...
216,뭔가 로맨틱할거라고 생각해본다면 no~
217,바이오맨이고싶다.
218,재미는 X
219,1점 준 거 이해 못하겠네.눈이 부셔졌나?
220,전부 조용해.... 가끔 총소리만 귀에 들어와...
221,나는 잭키한 영화 같은 느낌을 받았다
222,스토리도 액션도 잘 못하는데 여주인공까지 예쁘지 않아.
223,꽤 인기있었잖아
224,엄청난 캐릭터의 힘!
225,Let The River Run.. 가슴 벅찬 BGM
226,"삶과 죽음, 삶의 무게를 느낄 수 있는 길을 알려준 영화"
227,정말 멋진 영화다
228,"'준'을 빙자한 일탈 야, 그냥 솔직하게 말하는 게 어때?"
229,원래 이런 영화는 기대다.
230,키아누는 정말 작품 고르는 눈이 낮다.
231,일본에서 다그치면 한국만화일까?
232,여자는 행복하다
233,모델들이 배우라는 이름을 갖게 하기 위해 만들어졌다.
234,쓰레기... 권해효에게 2점
235,내가 가장 좋아하는 영화 제목중 하나
236,감독은 발이 넓다.쓰레기 시나리오에서 배우를 캐스팅 하는 것은
237,존내 재미있는 일
238,내 인생 최고의 영화
239,감동이 없다면 당신은 순수 0%
240,쓰레기영화 어른3류영화관서 신음소리 듣는다
241,상당한 재미균형을 잡기 위해서.
242,이 영화 보고 10점 준 놈들 달려라
243,역시...코미디구나...최악
244,우연이 만드는 운명이란 올챙이가 병아리가 되는 그런 것일까?
245,"외계인, 너무 바보같이 나온다. 기술은 좋은데 머리는 바보야."
246,비주~ 보면 후회 쓰레기
247,불확실한 미래에 대한...노력...하지만 냉정한 현실....
248,"18세 영화? 영화 완전 초등학생용'코딱지 싸움, 트램 싸움' 초등생에게 권한다"
249,전형적인 할리우드 버디 영화. 재미는 꽤 좋다.
250,재밌어.
251,흥행에 성공한다면...아마도... 나는 일반 대중이 아닐 것이다.
252,전작을 능가하는 지루함 역시 속편은 강도가 있다.
253,웃음을 원한다면 보지말아라 진실을 알고싶으면 보지말아라!!
254,이재은 신이 내렸다? 응응...울나라 정서를 잘 표현한 영화...
255,시사회 같이 간 친구에게 미안할 정도
256,화장실 유머...이해하기 힘들다...
257,실화라면 더 실감할 수 있는
258,영화가 아니라 쓰레기다.
259,여배우는 정말 마음에 안 들어. 샤무엘 잭슨-헨리 연쇄살인자도 등장
260,초등학교때 학교에서 본 기억이...ㅋㅋㅋ재미있었어~
261,재미있었다.
262,주연배우 이름만 기억에 남아.
263,중국의 유치 짬뽕 3류 드라마도 이보다 좋다.
264,재은아... 왜 그래?
265,많이 느끼게 하다
266,그 나름대로 여러 가지 생각하게 한 영화
267,"마지막, 짜증이 나는 여동생의 탈이 벗겨진 것은 이상하지만 평범하다"
268,참 재미있다
269,"네, 아첨 더 던질게요."
270,연기를 잘해요.
271,0점 있으면 주고 싶은데 캐서린 제타 존스 팬이라서 3점 줄게.
272,우~~♥
273,재미있습니다
274,재미있습니다.
275,정말 재밌어요!
276,감상문을 쓰기엔 너무 어려운 영화~
277,결국 후반부에 혼자 싸우는 할리우드의 법칙
278,크리스는 입이 클수록 시끄럽다. 영화도 시끄럽다
279,왜 이런 영화를 만들었을까.
280,차라리 책을 보았으면 좋겠다구
281,평이 별로 난 꽤 무서워서 재미있게 봤는데;
282,그냥 좀 황당하다.
283,읽지도 않았는데 스캔된 장면이 압권. 뭐 영화니까 말이야. (웃음)
284,수면영화의 최고봉! 불면증에 직빵! And napping goes on.
285,"용환아, 분명히 꽝 근데 여균동은 쓰레기가 아니에요"
286,재미가 없다.일본의 문화(특히 사무라이는) 아직 위화감을 느낀다.
287,썰렁~
288,황당한 스토리에 어디선가 많이 본 캐릭터들.
289,박중훈 혼자 오버 너무 많이 해 모든 점에서 만족감을 줄 수 없다
290,이 배우들은 왜 이 영화에 나왔을까?
291,거짓말로 만든 길리엄의 또 다른 저주받은 SF 걸작.
292,가슴이 아파 --;; 내..
293,"상우야, 그만 좀 해.매일 질질 드라마에만 출연한다."
294,좀더 사실을 세상에 알려 주십시오.
295,어이없는 설정부터 짜증났던 초반 건물 폭파 장면은 볼 만
296,재즈의 음색과 영화의 색채가 동시에 망각에 들어간다.
297,깊은 감동이 오래 남는 좋은 영화..
298,영어 제목처럼 '죽지 않는다'고 보는 동안 울화 지수는 높아졌다
299,해리스 써서 만든 비겁한 상업 에로 영화
300,최고야~ 최고!
301,보지 않는 편이 좋습니다. 재미도 없고 안무도 무섭고
302,"한때 유명했던 영화 포스터, 하지만 너무나 뻔한 스토리."
303,별루
304,음.
305,따뜻한 새벽에 혼자 봤는데 정말 느낌이 좋은 영화였다. '
306,나이틀리 역의 제러미 노덤... 딱이다!
307,도대체...우리를 어떻게 하라는건지..좋은점수를 줄수가 없어.
308,고잉호잉만 봤어요 아무튼 울었으니까 9점~
309,아름다운 곡
310,전작과의 차별성을 갖고 싶다
311,너무 좋았다.항상 다시 보고 싶은 영화 1위
312,밑에서 평가하신 분들은 모두 스텝인가요?
313,공포 다큐멘터리라고 잔뜩 기대 했었는데. 호러는 아니었어
314,제임스 딘 그는 상처받기 쉬운 섬세한 영혼의 소유자다~~
315,심심해.. 재미없어.. 시간만큼 아깝다..
316,파괴적이지 않은 간절한 사랑 이야기
317,"정치는 피 흘리지 않는 전쟁이고, 전쟁은 피 흘리는 정치다."
318,이런 멋진 영화를... 점수가 너무 낮아! 로그인 시킬께.
319,우리 나라의 정서에 맞지 않는 영화
320,일본인은 영화 만들지 마
321,보지마 절대!! 최악이 무엇인지 보여준 영화
322,초반에는 재밌는데 중반으로 갈수록 조금...
323,OO데 마이신다일류 배우를 둔 삼류 드라마다. .
324,어째서 신기전이 너희들 대신에 당당하게 쓰는거야!!
325,이게 2003년작이라니 ...끝까지 보는 건 임파서블이야
326,내가 올린 사진이 있어
327,야한 장면도 없지만...약한 영화....하다
328,음.. 이제 시걸도 은퇴할 때가 된 것 같아.
329,이 정도의 유머는 허영만 만들 수 있고 슈퍼보드에도 있다!!
330,로버트 드니로도 이제 끝인가... 좋아하는 배우인데 말야.
331,"단순한 스토리지만, 계속 떨어져간다 그리고 아름다워"
332,재미있다! 한마디면 좋을 것 같다. 배우좋아
333,정말 최고야~~~~
334,"독특한데 개뿔...시간, 돈이 모두 아까운 영화"
335,한국 애니메이션의 가능성을 한단계 높인 영화.. 굿 잡!
336,아 공포영화였나보네.
337,잔잔하게 이야기를 풀어가며 감동을 주는 영화
338,정말 말이 필요없네요.
339,K-1 선수 레이세포와 게리 굿리지 카메오 출연합니다. 찾아보게
340,스티븐 킹 원작에서 두번째로 별로
341,기어의 청춘
342,몇 번을 봐도 재미있는 영화..
343,솔직히 기대이하 두배우에게 기대 했었는데
344,피눈물과 닮은 섬마을의 위험함
345,형편없는 쓰레기 영화
346,재미있었어.
347,섹스 신 대작
348,이대근의 묵직한 김두한의 연기
349,꽤 재미있었어요.(웃음)
350,최고의 웃음!!
351,북한 소녀들이 소재라는 점만 빼면 다큐멘터리 같은 거...
352,캐스팅은 화려하지만 주인공의 연기를 별로 좋아하지 않아요.
353,핵꿀잼
354,보면 볼수록 감동이 밀려옵니다! 많이 좋아해요
355,인투 더 헬이다.그게 바로...
356,재미없지만 뭔가 있어.
357,잔잔한 드라마 고두심씨의 연기가 정말 좋아요!!
358,효도 심청의 이야기와 비슷하지만(웃음) 짱!
359,어렸을 때 무서워서 재미있게 봤다..ㅋㅋ 마지막 날으는 씬 감동
360,재밌어.
361,이시구로 노보루 감독의 TV 시리즈가 진정한 마크로스다.
362,신랄한 조롱으로 정치를 풍자하다. 드니로의 연기는 단연 최고
363,최고의 데뷔작 중 하나. 실내를 조이는 미장센은 정말 멋지다
364,풀하우스
365,최고 최고 *`*
